Postal Code,Latitude,Longitude,Place Type,Place Name
M1B,43.8113,-79.193,primary_school,Alvin Curling Public School
M1B,43.8113,-79.193,electronics_store,RGB Audio Visuals
M1B,43.8113,-79.193,electronics_store,Contact Distribution Ltd
M1B,43.8113,-79.193,point_of_interest,Rock Connection
M1B,43.8113,-79.193,point_of_interest,Exodus Graphics Corp.
M1B,43.8113,-79.193,point_of_interest,Relay Graphics Inc
M1B,43.8113,-79.193,point_of_interest,Cascades Recovery+ Scarborough
M1B,43.8113,-79.193,point_of_interest,Rouge Valley Studio
M1B,43.8113,-79.193,general_contractor,R & K Woodworking Specialists Inc.
M1B,43.8113,-79.193,point_of_interest,Berbice Windows & Doors Ltd
M1B,43.8113,-79.193,point_of_interest,Multi-Tech Fluid Power
M1B,43.8113,-79.193,point_of_interest,Scarborough Alvin Curling YMCA Before and After School Program
M1B,43.8113,-79.193,point_of_interest,Ven Lee Poultry
M1B,43.8113,-79.193,point_of_interest,Metalex Machine & Tool
M1B,43.8113,-79.193,point_of_interest,Rideau Trading Inc.
M1B,43.8113,-79.193,point_of_interest,Hope Neon Ltd.
M1B,43.8113,-79.193,point_of_interest,Hua Yang Seafood Inc.
M1B,43.8113,-79.193,point_of_interest,EuroCan Consultants
M1B,43.8113,-79.193,sublocality_level_1,Scarborough
M1B,43.8113,-79.193,point_of_interest,Canadian Fulfill
M1B,43.8113,-79.193,furniture_store,Tevola Kitchen & Vanity
M1B,43.8113,-79.193,point_of_interest,Seller Express
M1B,43.8113,-79.193,point_of_interest,Jin Tian Food Inc
M1B,43.8113,-79.193,food,Pak Fok Food Products Inc
M1B,43.8113,-79.193,point_of_interest,C GO MEAT TRADING
M1B,43.8113,-79.193,point_of_interest,Yalini Ent Inc
M1B,43.8113,-79.193,food,Best choice meat supply
M1B,43.8113,-79.193,point_of_interest,Tower Litho Company Ltd.
M1B,43.8113,-79.193,accounting,Zoho Tax Solutions
M1B,43.8113,-79.193,park,Sparrow Track
M1B,43.8113,-79.193,point_of_interest,Renu Auto Details
M1B,43.8113,-79.193,car_repair,Alvin's Auto Glass-- Stone Chip Repair and Windshield Replacement
M1B,43.8113,-79.193,lodging,Rogue
M1B,43.8113,-79.193,point_of_interest,Cascades Transfer Station
M1C,43.7878,-79.1564,car_repair,Lucas Automotive Services
M1C,43.7878,-79.1564,point_of_interest,Telk Communications Inc
M1C,43.7878,-79.1564,school,Creative Minds Montessori Academy
M1C,43.7878,-79.1564,physiotherapist,Rouge Health Solutions
M1C,43.7878,-79.1564,general_contractor,Norms Building Maint
M1C,43.7878,-79.1564,car_wash,Rainbow Motors Auto Sales & Garage
M1C,43.7878,-79.1564,gas_station,Global
M1C,43.7878,-79.1564,point_of_interest,Courtland Mews Co-Operative Homes Inc
M1C,43.7878,-79.1564,transit_station,Lawson Rd at Irvine Rd
M1C,43.7878,-79.1564,transit_station,Lawson Rd at Cedarview Dr
